province,province_code,district,district_code,ward,ward_code,address,long,lat
Đắk Lắk,66,Krông Pắc,654,Ea Kuăng,24514,"Đắk Lắk,Krông Pắc,Ea Kuăng",108.38985598264799,12.6908424992318
Đắk Lắk,66,Krông Pắc,654,Ea Phê,24502,"Đắk Lắk,Krông Pắc,Ea Phê",108.34688836917299,12.7601492771943
Đắk Lắk,66,Krông Pắc,654,Ea Uy,24532,"Đắk Lắk,Krông Pắc,Ea Uy",108.389308747436,12.6290654082834
Đắk Lắk,66,Krông Pắc,654,Ea Yiêng,24535,"Đắk Lắk,Krông Pắc,Ea Yiêng",108.38842410765899,12.584889217968499
Đắk Lắk,66,Krông Pắc,654,Ea Yông,24508,"Đắk Lắk,Krông Pắc,Ea Yông",108.282741880278,12.703813036452999
Đắk Lắk,66,Krông Pắc,654,Hòa An,24511,"Đắk Lắk,Krông Pắc,Hòa An",108.331863547038,12.7211137010217
Đắk Lắk,66,Krông Pắc,654,Hòa Đông,24517,"Đắk Lắk,Krông Pắc,Hòa Đông",108.175236504882,12.688220036811199
Đắk Lắk,66,Krông Pắc,654,Hòa Tiến,24523,"Đắk Lắk,Krông Pắc,Hòa Tiến",108.314482170625,12.664999122364302
Đắk Lắk,66,Krông Pắc,654,KRông Búk,24493,"Đắk Lắk,Krông Pắc,KRông Búk",108.3819835915,12.7888355201639
Đắk Lắk,66,Krông Pắc,654,Tân Tiến,24526,"Đắk Lắk,Krông Pắc,Tân Tiến",108.33637381876,12.6456448794487
Đắk Lắk,66,Krông Pắc,654,TT. Phước An,24490,"Đắk Lắk,Krông Pắc,TT. Phước An",108.308536394877,12.7127343891885
Đắk Lắk,66,Krông Pắc,654,Vụ Bổn,24529,"Đắk Lắk,Krông Pắc,Vụ Bổn",108.44630645031499,12.6243315195682
Đắk Lắk,66,Lắk,656,Bông Krang,24586,"Đắk Lắk,Lắk,Bông Krang",108.35471511333598,12.366187473365601
Đắk Lắk,66,Lắk,656,Buôn Tría,24595,"Đắk Lắk,Lắk,Buôn Tría",108.110916689268,12.3851574024052
Đắk Lắk,66,Lắk,656,Buôn Triết,24592,"Đắk Lắk,Lắk,Buôn Triết",108.05392679885,12.386780096502
Đắk Lắk,66,Lắk,656,Đắk Liêng,24589,"Đắk Lắk,Lắk,Đắk Liêng",108.15767091905501,12.405033269638698
Đắk Lắk,66,Lắk,656,Đắk Nuê,24601,"Đắk Lắk,Lắk,Đắk Nuê",108.152513610898,12.305476511129699
Đắk Lắk,66,Lắk,656,Đắk Phơi,24598,"Đắk Lắk,Lắk,Đắk Phơi",108.24643976856899,12.3177474563665
Đắk Lắk,66,Lắk,656,Ea R'Bin,24610,"Đắk Lắk,Lắk,Ea R'Bin",107.966287037036,12.360793514219901
